OBJECTID,Longitude,Latitude,Section,Destination,Timestamp,Color,Time,Date
105,117.5911798,34.13401573,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:15,"March 8th, 13 BC"
106,117.589509,34.12973249,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:19,"March 8th, 13 BC"
107,117.5883894,34.12532084,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:22,"March 8th, 13 BC"
108,117.5872081,34.12092094,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:26,"March 8th, 13 BC"
109,117.5852016,34.11674839,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:29,"March 8th, 13 BC"
110,117.5810799,34.11397457,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:33,"March 8th, 13 BC"
111,117.5757683,34.11314936,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:36,"March 8th, 13 BC"
112,117.570359,34.11331984,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:40,"March 8th, 13 BC"
113,117.565114,34.11441476,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:43,"March 8th, 13 BC"
114,117.5608442,34.11713375,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:47,"March 8th, 13 BC"
115,117.5569712,34.12028129,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:50,"March 8th, 13 BC"
116,117.5519106,34.12160291,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:54,"March 8th, 13 BC"
117,117.5465228,34.12185462,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:57,"March 8th, 13 BC"
118,117.5428279,34.1250181,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:01,"March 8th, 13 BC"
119,117.5389938,34.1280915,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:04,"March 8th, 13 BC"
120,117.5337833,34.12930235,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:08,"March 8th, 13 BC"
121,117.5286191,34.13062686,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:11,"March 8th, 13 BC"
122,117.5240074,34.13299102,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:14,"March 8th, 13 BC"
123,117.5207029,34.13645945,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:18,"March 8th, 13 BC"
124,117.5195457,34.14085698,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:21,"March 8th, 13 BC"
125,117.5186394,34.14530059,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:25,"March 8th, 13 BC"
126,117.5153691,34.14847366,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:28,"March 8th, 13 BC"
127,117.510148,34.14753764,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:32,"March 8th, 13 BC"
128,117.5102464,34.1432315,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:35,"March 8th, 13 BC"
129,117.5116086,34.13887584,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:39,"March 8th, 13 BC"
130,117.5078193,34.13679325,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:42,"March 8th, 13 BC"
131,117.5024452,34.13738935,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:46,"March 8th, 13 BC"
132,117.4972006,34.13683402,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:49,"March 8th, 13 BC"
133,117.4956652,34.13260475,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:53,"March 8th, 13 BC"
134,117.4932711,34.12899645,To Pengcheng,Waterways,,#DC143C,2013-3-8 15:56,"March 8th, 13 BC"
135,117.4880404,34.12991092,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:00,"March 8th, 13 BC"
136,117.486097,34.13395104,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:03,"March 8th, 13 BC"
137,117.4843168,34.13809019,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:07,"March 8th, 13 BC"
138,117.4794549,34.13997971,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:10,"March 8th, 13 BC"
139,117.4740707,34.14041303,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:14,"March 8th, 13 BC"
140,117.4687206,34.13976012,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:17,"March 8th, 13 BC"
141,117.4643477,34.13730948,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:21,"March 8th, 13 BC"
142,117.4623699,34.13311903,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:24,"March 8th, 13 BC"
143,117.4598058,34.12928703,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:28,"March 8th, 13 BC"
144,117.4554505,34.13172248,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:31,"March 8th, 13 BC"
145,117.4529864,34.13565509,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:35,"March 8th, 13 BC"
146,117.4518938,34.13996646,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:38,"March 8th, 13 BC"
147,117.4472559,34.14220325,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:42,"March 8th, 13 BC"
148,117.441948,34.14274659,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:45,"March 8th, 13 BC"
149,117.4368198,34.14128971,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:49,"March 8th, 13 BC"
150,117.4318803,34.14202983,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:52,"March 8th, 13 BC"
151,117.429166,34.14592658,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:55,"March 8th, 13 BC"
152,117.4247719,34.14825375,To Pengcheng,Waterways,,#DC143C,2013-3-8 16:59,"March 8th, 13 BC"
153,117.4194092,34.14776012,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:02,"March 8th, 13 BC"
154,117.4142219,34.14644662,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:06,"March 8th, 13 BC"
155,117.409023,34.1451674,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:09,"March 8th, 13 BC"
156,117.4036515,34.14487398,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:13,"March 8th, 13 BC"
157,117.3994711,34.14753714,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:16,"March 8th, 13 BC"
158,117.4014825,34.14994496,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:20,"March 8th, 13 BC"
159,117.4069037,34.1500507,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:23,"March 8th, 13 BC"
160,117.4066529,34.15265314,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:27,"March 8th, 13 BC"
161,117.4023482,34.15539129,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:30,"March 8th, 13 BC"
162,117.4004362,34.15939189,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:34,"March 8th, 13 BC"
163,117.4007352,34.16387417,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:37,"March 8th, 13 BC"
164,117.398168,34.16780518,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:41,"March 8th, 13 BC"
165,117.3942019,34.17086338,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:44,"March 8th, 13 BC"
166,117.3892124,34.17240578,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:48,"March 8th, 13 BC"
167,117.3837893,34.17233347,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:51,"March 8th, 13 BC"
168,117.3790196,34.17392078,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:55,"March 8th, 13 BC"
169,117.3782585,34.1783597,To Pengcheng,Waterways,,#DC143C,2013-3-8 17:58,"March 8th, 13 BC"
170,117.3754989,34.18115323,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:02,"March 8th, 13 BC"
171,117.3709489,34.17871968,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:05,"March 8th, 13 BC"
172,117.3663477,34.17635131,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:09,"March 8th, 13 BC"
173,117.3610223,34.17556405,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:12,"March 8th, 13 BC"
174,117.3556393,34.17588135,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:16,"March 8th, 13 BC"
175,117.3521416,34.17908358,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:19,"March 8th, 13 BC"
176,117.3506091,34.18340648,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:23,"March 8th, 13 BC"
177,117.348723,34.1876145,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:26,"March 8th, 13 BC"
178,117.3439507,34.18822478,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:30,"March 8th, 13 BC"
179,117.3392004,34.18604812,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:33,"March 8th, 13 BC"
180,117.3340837,34.18602648,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:37,"March 8th, 13 BC"
181,117.3301605,34.18913253,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:40,"March 8th, 13 BC"
182,117.3252703,34.19066847,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:43,"March 8th, 13 BC"
183,117.3198832,34.19019465,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:47,"March 8th, 13 BC"
184,117.3167562,34.19337548,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:50,"March 8th, 13 BC"
185,117.3156347,34.19777888,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:54,"March 8th, 13 BC"
186,117.3110049,34.19882043,To Pengcheng,Waterways,,#DC143C,2013-3-8 18:57,"March 8th, 13 BC"
187,117.3057306,34.19833958,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:01,"March 8th, 13 BC"
188,117.3029122,34.20202961,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:04,"March 8th, 13 BC"
189,117.3020708,34.20648004,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:08,"March 8th, 13 BC"
190,117.3015348,34.21096707,To Pengcheng,Waterways,,#DC143C,2013-3-8 19:11,"March 8th, 13 BC"
